26;26;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 89;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 89;455 km;4 hr 57 min
27;27;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Wrocław 9;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Wrocław 9;577 km;5 hr 45 min
28;28;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdańsk 26;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdańsk 26;19.0 km;40 min
29;29;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Pruszcz Gdański 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Pruszcz Gdański 1;44.4 km;39 min
30;30;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdańsk 50;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdańsk 50;38.3 km;39 min
31;31;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 1;447 km;4 hr 41 min
32;32;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ostrowiec Świętokrzyski 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ostrowiec Świętokrzyski 1;582 km;6 hr 9 min
33;33;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Świdnik k. Lublina 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Świdnik k. Lublina 1;636 km;6 hr 29 min
34;34;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Lublin 9;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Lublin 9;617 km;6 hr 16 min
35;35;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Choszczno 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Choszczno 1;329 km;4 hr 47 min
36;36;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Puławy 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Puławy 1;553 km;6 hr 3 min
37;37;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Jawor 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Jawor 1;533 km;6 hr 21 min
38;38;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Łódź 6;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Łódź 6;356 km;3 hr 48 min
39;39;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Koszalin 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Koszalin 2;178 km;3 hr 7 min
40;40;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Konin 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Konin 1;306 km;3 hr 40 min
41;41;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ostrów Wielkopolski 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ostrów Wielkopolski 2;386 km;4 hr 57 min
42;42;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Siedlce 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Siedlce 2;447 km;5 hr 15 min
43;43;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Pyrzyce;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Pyrzyce;372 km;4 hr 59 min
44;44;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ostrów Mazowiecka 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ostrów Mazowiecka 1;359 km;3 hr 56 min
45;45;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Bielsk Podlaski 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Bielsk Podlaski 1;463 km;5 hr 18 min
46;46;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Rybnik 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Rybnik 1;587 km;6 hr 33 min
47;47;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Skarżysko-Kamienna 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Skarżysko-Kamienna 2;535 km;5 hr 24 min
48;48;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Płock 4;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Płock 4;-1;-1
49;49;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Poznań 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Poznań 2;-1;-1
50;50;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Włocławek 14;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Włocławek 14;-1;-1
51;51;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Bielsko-Biała 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Bielsko-Biała 2;612 km;6 hr 58 min
