;sending_location;delivery_location
0;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Mielec 1
1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kozienice 1
2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Lębork 2
3;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Oleśnica Śląska 1
4;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);PP Szczecin Z101
5;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kraśnik 1
6;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Piotrków Trybunalski 1
7;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Sejny
8;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Toruń 1
9;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);PP Białystok B103
10;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Zielona Góra 2
11;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Świdnica Śląska 1
12;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Nysa 1
13;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Chrzanów
14;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kielce 2
15;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ruda Śląska 9
16;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Katowice 1
17;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 2
18;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Stargard 2
19;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Toruń 3
20;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Oświęcim
21;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kraków 4
22;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Chodzież
23;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Skierniewice 2
24;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);PP Lublin L101
25;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Będzin 1
26;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 89
27;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Wrocław 9
28;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdańsk 26
29;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Pruszcz Gdański 1
30;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdańsk 50
31;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 1
32;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ostrowiec Świętokrzyski 1
33;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Świdnik k. Lublina 1
34;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Lublin 9
35;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Choszczno 1
36;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Puławy 1
37;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Jawor 1
38;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Łódź 6
39;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Koszalin 2
40;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Konin 1
41;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ostrów Wielkopolski 2
42;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Siedlce 2
43;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Pyrzyce
44;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ostrów Mazowiecka 1
45;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Bielsk Podlaski 1
46;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Rybnik 1
47;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Skarżysko-Kamienna 2
48;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Płock 4
49;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Poznań 2
50;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Włocławek 14
51;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Bielsko-Biała 2
52;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gliwice 22
53;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Pyskowice
54;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Puck
55;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Łódź 1
56;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdańsk 6
57;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gliwice 2
58;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);PP Zabrze S101
59;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Tarnowskie Góry 1
60;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Częstochowa 1
61;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kutno 1
62;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 4
63;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Toruń 16
64;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kraków 28
65;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Mogilno 1
66;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Grodzisk Mazowiecki 1
67;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gostyń Poznański 1
68;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Zawiercie 1
69;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Tczew 1
70;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Konin 2
71;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Płock 12
72;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Jędrzejów 1
73;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 79
74;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kamień Pomorski
75;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Lesko
76;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Suchowola
77;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Rumia 1
78;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Sosnowiec 1
79;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Zgorzelec 1
80;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Poznań 68
81;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Skoczów
82;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Bieruń Nowy
83;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Giżycko 1
84;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Pieńsk
85;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Śmigiel
86;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Nowy Dwór Gdański
87;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kosów Lacki
88;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Środa Śląska
89;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Braniewo 1
90;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Aleksandrów Kujawski 1
91;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Przemyśl 2
92;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Strzelno
93;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Opole 6
94;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Wejherowo 1
95;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdańsk 24
96;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 4
97;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Piastów 1
98;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Sulejówek 3
99;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Radomsko 1
100;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Brzeszcze
101;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Dzierzgoń
102;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Elbląg 2
103;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 10
104;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Poznań 29
105;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Raszyn
106;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Gdańsk 50
107;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Żukowo k. Kartuz
108;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Gdańsk 5
109;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Pruszcz Gdański 1
110;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Sieradz 2
111;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Sochaczew 1
112;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Otwock 1
113;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Płońsk 1
114;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Otmuchów
115;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Deszczno
116;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Lublin 50
117;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Nowy Sącz 2
118;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Porąbka k. Kęt
119;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Dąbrowa Górnicza 9
120;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Białystok 2
121;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 3
122;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 16
123;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Gdynia 3
124;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);AP Gdynia
125;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Sopot 1
126;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 6
127;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Gdynia 1
128;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 1
129;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Sopot 1
130;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 11
131;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Gdynia 4
132;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Chwaszczyno
133;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Gdynia 16
134;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Słupsk 2
135;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Słupsk 12
136;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);AP Małe Gowino
137;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);AP Reda
138;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kartuzy 1
139;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Katowice 26
140;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Luzino
141;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Lębork 1
142;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Biała Podlaska 1
143;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Głubczyce
144;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Łowicz 1
145;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Grudziądz 1
146;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Szubin
147;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Brodnica 1
148;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Jastrzębie-Zdrój
149;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Legnica 1
150;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Szamotuły
151;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Żary 1
152;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Krosno 1
153;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Chełmno 1
154;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Zielona Góra 1
155;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Jelenia Góra 14
156;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Bolesławiec Śląski 1
157;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Chorzów 1
158;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gostynin
159;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Tomaszów Lubelski 1
160;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);PP PP-Wrocław D101
161;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 14
162;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Sandomierz 1
163;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kołobrzeg 1
164;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Sokołów Podlaski 1
165;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Pińczów
166;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Włocławek 2
167;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kazimierza Wielka
168;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Radom 9
169;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kraków 69
170;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gorzów Wielkopolski 1
171;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Żywiec 1
172;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Trzcianka
173;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Koprzywnica
174;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Żory 1
175;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Szczecin 41
176;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kłaj
177;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Tarnów 2
178;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Szprotawa
179;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Tarnów 1
180;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Jarczów
181;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Raniżów
182;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Słupca 1
183;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Orneta
184;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Leszno 1
185;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Miłomłyn
186;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Bełchatów 1
187;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Poznań 1
188;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Katowice 25
189;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Wałbrzych 1
190;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Bochnia
191;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Zduńska Wola 1
192;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ełk 1
193;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);PP Piotrków Trybunalski E301
194;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ostrzeszów 1
195;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Wieluń 1
196;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Tychy 1
197;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Miejska Górka
198;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Osjaków
199;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Końskie 1
200;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Wąbrzeźno 1
201;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Poznań 60
202;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Głogów Małopolski
203;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Zatory
204;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Tomaszów Mazowiecki 1
205;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ruda Śląska 7
206;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Pobiedziska
207;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Lublin 24
208;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Opoczno 1
209;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Grajewo 1
210;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Działdowo 1
211;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdańsk 48
212;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Nowy Targ 1
213;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 113
214;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Buk
215;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Sulechów 1
216;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kobierzyce
217;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Piaseczno k. Warszawy 1
218;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Różan
219;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 148
220;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Świnoujście 1
221;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Radom 2
222;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Bytom 2
223;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Sławno 1
224;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ślesin k. Konina
225;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Świecie nad Wisłą 1
226;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Szczuczyn
227;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Rumia 4
228;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Świecie nad Wisłą 1
229;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Unisław
230;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Pszczyna
231;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kraków 55
232;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 22
233;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Nidzica
234;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Płock 13
235;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Białe Błota
236;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Reda
237;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Rumia 4
238;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kościerzyna 1
239;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Łódź 17
240;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Olsztyn 2
241;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdańsk 7
242;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Wałcz 1
243;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Szydłowiec k. Radomia
244;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kikół
245;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kędzierzyn-Koźle 4
246;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Świebodzice 1
247;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Łódź 71
248;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Trzydnik Duży
249;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kluczbork 1
250;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kędzierzyn-Koźle 1
251;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Chojnice 2
252;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Wrocław 67
253;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Gdynia 6
254;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);PP Bydgoszcz C102
255;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Poznań 47
256;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);WER Olsztyn-Sekcja Rozdzielni Przesyłek Listowych Miasto
257;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 119
258;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Ostrołęka 2
259;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdańsk 18
260;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Starogard Gdański 1
261;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Człuchów 1
262;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Elbląg 1
263;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kolbudy
264;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Wejherowo 1
265;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Łomianki
266;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdańsk 5
267;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Lębork 2
268;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Kwidzyn 1
269;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ustka 1
270;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Słupsk 1
271;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Zabierzów
272;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Ustka 1
273;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Malbork 1
274;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);AP Jegłownik
275;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Pszczółki
276;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);UP Zator
277;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);UP Gdów
278;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);UP Kraków 28
279;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);UP Dobczyce
280;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);UP Kraków 25
281;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);UP Niepołomice
282;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);UP Wieliczka
283;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);AP Kraków
284;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);FUP Kraków 38
285;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);UP Kraków 47
286;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);UP Wodzisław Śląski
287;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);FUP Kraków 16
288;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);FUP Wieliczka
289;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);UP Raciechowice
290;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);AP Węgrzce Wielkie
291;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);UP Kraków 23
292;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);UP Kraków 4
293;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);UP Warszawa 12
294;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);UP Warszawa 119
295;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);UP Limanowa
296;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);UP Olkusz
297;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);UP Warszawa 22
298;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);UP Starachowice 1
299;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);AP Wieliczka
300;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);UP Myślenice
301;UP Wieliczka (ul. Legionów 3, 32-020 Wieliczka);UP Kraków 49
