,Address,Coordinates
104,UP Siedlce 2,"(52.161593800000006, 22.281253302988254)"
105,UP Gdynia 16,"(54.50383255, 18.462806155884614)"
106,UP Inowrocław 1,"(52.781464299999996, 18.246308553210774)"
107,UP Jelcz-Laskowice 4,"(51.0398306, 17.3499638)"
108,UP Bełchatów 1,"(51.35467735, 19.37685731872076)"
109,UP Kórnik,"(52.2492751, 17.0901242)"
110,UP Poznań 20,"(52.4006632, 16.91973259178088)"
111,UP Krzepice,"(50.9693977, 18.7264242)"
112,UP Wrocław 65,"(51.1263106, 16.97819633051261)"
113,UP Szczecin 6,"(53.4301818, 14.5509623)"
114,UP Szubin,"(53.0117503, 17.7439402)"
115,UP Krzyż Wielkopolski,"(49.5886688, 22.2195478)"
116,UP Krasnosielc,"(53.0335809, 21.1575267)"
117,UP Goleniów 1,"(53.5656704, 14.8300626)"
118,UP Gdynia 10,"(54.50383255, 18.462806155884614)"
119,UP Wrocław 60,"(51.1263106, 16.97819633051261)"
120,UP Starogard Gdański 1,"(53.7599575, 15.5331469)"
121,UP Braniewo 1,"(54.3791637, 19.82216309198983)"
122,UP Białe Błota,"(52.4980137, 19.5146748)"
123,UP Budzyń,"(50.3834331, 20.7657421)"
124,UP Nowe Skalmierzyce,"(53.6462325, 18.7290468)"
125,UP Dopiewo,"(52.3584401, 16.6764028)"
126,UP Radom 1,"(51.41716055, 21.160944780832743)"
127,UP Sierakowice,"(54.345194, 17.8935576)"
128,UP Poznań 47,"(52.4006632, 16.91973259178088)"
129,UP Kalisz 2,"(51.74736505, 18.079590087700034)"
130,UP Bolesławiec Śląski 1,"(51.262169150000005, 15.55501970717719)"
131,UP Słubice 1,"(52.3557481, 14.5662367)"
132,UP Gdynia 4,"(54.50383255, 18.462806155884614)"
133,UP Bogdaniec,"(52.2379157, 20.3349468)"
134,UP Rzeszów 17,"(50.013064, 22.016143457294312)"
135,UP Włocławek 2,"(52.6655636, 19.096129748054388)"
136,UP Bydgoszcz 14,"(53.12974625, 18.029369658534854)"
137,UP Łódź 9,"(51.7687323, 19.4569911)"
138,AP Plewiska,"(52.3665196, 16.809783)"
139,UP Skierniewice 2,"(51.95805445, 20.144870111023707)"
140,WER Olsztyn-Sekcja Rozdzielni Przesyłek Listowych Miasto,
141,UP Radom 2,"(51.41716055, 21.160944780832743)"
142,UP Strzelce Opolskie 1,"(52.67644, 18.10092)"
143,UP Warszawa 47,"(52.2319581, 21.0067249)"
144,UP Świętochłowice 1,"(50.2989445, 18.907466206416952)"
145,UP Radomyśl Wielki,"(52.0334258, 22.3605914)"
146,UP Kraków 23,"(50.0469432, 19.997153435836697)"
147,UP Piastów 1,"(52.185592299999996, 20.847823206203856)"
148,UP Kcynia,"(52.9917668, 17.4873729)"
149,FUP Gniezno 1,"(52.52465015, 17.598152438162245)"
150,UP Poznań 68,"(52.4006632, 16.91973259178088)"
151,UP Opole 7,"(50.678792900000005, 17.929884436033525)"
152,UP Poznań 56,"(52.4006632, 16.91973259178088)"
153,UP Łódź 15,"(51.7687323, 19.4569911)"
154,UP Warszawa 119,"(52.2319581, 21.0067249)"
155,UP Opole 1,"(50.678792900000005, 17.929884436033525)"
156,UP Lidzbark k. Działdowa,"(53.2628043, 19.8231836)"
157,UP Poznań 33,"(52.4006632, 16.91973259178088)"
158,UP Świebodzin,"(52.2498357, 15.5324973)"
159,UP Czarna Dąbrówka,"(51.3938508, 18.6338405)"
160,PP Białystok B103,"(53.127505049999996, 23.147050870161664)"
161,UP Mikołów 1,"(50.19600335, 18.853851637416344)"
162,UP Płońsk 1,"(52.626415300000005, 20.364279247920496)"
163,UP Leszno 2,"(51.8436068, 16.58042182076424)"
164,UP Dobrzeń Wielki,"(51.24388, 17.28459)"
165,UP Piła 2,"(53.1511324, 16.7380343)"
166,UP Nowy Sącz 2,"(53.6462325, 18.7290468)"
167,UP Bydgoszcz 13,"(53.12974625, 18.029369658534854)"
168,PP Łódź E225,"(51.7687323, 19.4569911)"
169,UP Gdańsk 50,"(54.36143405, 18.62821847557274)"
170,UP Grudziądz 1,"(53.47251195, 18.761893676880046)"
171,FUP Wągrowiec,"(52.81220655, 17.201913487483125)"
172,UP Witkowo,"(52.4395881, 17.7725138)"
173,UP Głubczyce,"(50.2000941, 17.8293199)"
174,UP Łagów k. Staszowa,"(50.7754877, 21.0839837)"
175,UP Raszyn,"(52.1583333, 20.9241667)"
176,UP Parczew,"(51.639, 22.9)"
177,UP Rawicz 1,"(51.6101629, 16.8583657)"
178,UP Złotów,"(53.3591987, 17.043815994517477)"
179,UP Góra Śląska,"(51.6681499, 16.5393277)"
180,UP Włocławek 11,"(52.6655636, 19.096129748054388)"
181,UP Grabów k. Łęczycy,"(52.12736, 19.00855)"
182,UP Lublin 1,"(51.218194499999996, 22.554677565192677)"
183,UP Kraków 16,"(50.0469432, 19.997153435836697)"
184,UP Warszawa 4,"(52.2319581, 21.0067249)"
185,UP Szczecin 43,"(53.4301818, 14.5509623)"
186,UP Łódź 11,"(51.7687323, 19.4569911)"
187,UP Łęczyca,"(52.054506200000006, 19.19828880034903)"
188,UP Koło 1,"(52.2019866, 18.6359912)"
189,UP Warszawa 1,"(52.2319581, 21.0067249)"
190,UP Mysłowice 1,"(50.2096211, 19.132165997410812)"
191,UP Niepołomice,"(50.033182, 20.2168012)"
192,UP Kłaj,"(49.9925308, 20.3154849)"
193,AP Wola Batorska,"(52.2362379, 20.9547815)"
194,FUP Kraków 11,"(50.0469432, 19.997153435836697)"
195,AP Kraków,"(50.0469432, 19.997153435836697)"
196,FUP Kraków 47,"(50.0469432, 19.997153435836697)"
197,AP Podłęże,"(50.0239536, 19.5551924)"
198,UP Gdów,"(49.9085036, 20.1996034)"
199,FUP Wieliczka,"(49.9823773, 20.0602114)"
200,FUP Jelenia Góra 14,"(51.400859, 15.3478149)"
